Subject	Grade	Domain Name	Domain Abbreviation	Domain Name Full	New Cluster Name	Cluster Abbreviation	Cluster Name Full	Cluster (old)	Standard Abbreviation	State Standard	Notes
Math	HSF	"Linear, Quadratic, &amp; Exponential Models"	LE	"(LE) Linear, Quadratic, &amp; Exponential Models"	"Linear, quadratic, and exponential models"	HSF.LE.A	"(HSF.LE.A) Linear, quadratic, and exponential models"	"Construct And Compare Linear, Quadratic, And Exponential Models And Solve Problems"	HSF.LE.A.1.C	Recognize situations in which a quantity grows or decays by a constant percent rate per unit interval relative to another.	
Math	HSF	"Linear, Quadratic, &amp; Exponential Models"	LE	"(LE) Linear, Quadratic, &amp; Exponential Models"	"Linear, quadratic, and exponential models"	HSF.LE.A	"(HSF.LE.A) Linear, quadratic, and exponential models"	"Construct And Compare Linear, Quadratic, And Exponential Models And Solve Problems"	HSF.LE.A.2	"Construct linear and exponential functions, including arithmetic and geometric sequences, given a graph, a description of a relationship, or two input-output pairs (include reading these from a table)."	
Math	HSF	"Linear, Quadratic, &amp; Exponential Models"	LE	"(LE) Linear, Quadratic, &amp; Exponential Models"	"Linear, quadratic, and exponential models"	HSF.LE.A	"(HSF.LE.A) Linear, quadratic, and exponential models"	"Construct And Compare Linear, Quadratic, And Exponential Models And Solve Problems"	HSF.LE.A.3	"Observe using graphs and tables that a quantity increasing exponentially eventually exceeds a quantity increasing linearly, quadratically, or (more generally) as a polynomial function."	
Math	HSF	"Linear, Quadratic, &amp; Exponential Models"	LE	"(LE) Linear, Quadratic, &amp; Exponential Models"	"Linear, quadratic, and exponential models"	HSF.LE.A	"(HSF.LE.A) Linear, quadratic, and exponential models"	"Construct And Compare Linear, Quadratic, And Exponential Models And Solve Problems"	HSF.LE.A.4	"For exponential models, express as a logarithm the solution to abct =d where a,c,and d are numbers and the base b is 2,10,or e; evaluate the logarithm using technology."	
Math	HSF	"Linear, Quadratic, &amp; Exponential Models"	LE	"(LE) Linear, Quadratic, &amp; Exponential Models"	Interpreting expressions for functions in context	HSF.LE.B	(HSF.LE.B) Interpreting expressions for functions in context	Interpret Expressions For Functions In Terms Of The Situation They Model	HSF.LE.B.5	Interpret the parameters in a linear or exponential function in terms of a context.	
Math	HSF	Trigonometric Functions	TF	(TF) Trigonometric Functions	Trigonometric functions and the unit circle	HSF.TF.A	(HSF.TF.A) Trigonometric functions and the unit circle	Extend The Domain Of Trigonometric Functions Using The Unit Circle	HSF.TF.A.1	Understand radian measure of an angle as the length of the arc on the unit circle subtended by the angle.	
Math	HSF	Trigonometric Functions	TF	(TF) Trigonometric Functions	Trigonometric functions and the unit circle	HSF.TF.A	(HSF.TF.A) Trigonometric functions and the unit circle	Extend The Domain Of Trigonometric Functions Using The Unit Circle	HSF.TF.A.2	"Explain how the unit circle in the coordinate plane enables the extension of trigonometric functions to all real numbers, interpreted as radian measures of angles traversed counterclockwise around the unit circle."	
Math	HSF	Trigonometric Functions	TF	(TF) Trigonometric Functions	Trigonometric functions and the unit circle	HSF.TF.A	(HSF.TF.A) Trigonometric functions and the unit circle	Extend The Domain Of Trigonometric Functions Using The Unit Circle	HSF.TF.A.3	"(+) Use special triangles to determine geometrically the values of sine, cosine, tangent for ìÛ/3, ìÛ/4 and ìÛ/6, and use the unit circle to express the values of sine, cosine, and tangent for ìÛ‰ÛÒx, ìÛ+x, and 2ìÛ‰ÛÒx in terms of their values for x, where x is any real number."	
Math	HSF	Trigonometric Functions	TF	(TF) Trigonometric Functions	Trigonometric functions and the unit circle	HSF.TF.A	(HSF.TF.A) Trigonometric functions and the unit circle	Extend The Domain Of Trigonometric Functions Using The Unit Circle	HSF.TF.A.4	(+) Use the unit circle to explain symmetry (odd and even) and periodicity of trigonometric functions.	
Math	HSF	Trigonometric Functions	TF	(TF) Trigonometric Functions	Periodic phenomena and trigonometric functions	HSF.TF.B	(HSF.TF.B) Periodic phenomena and trigonometric functions	Model Periodic Phenomena With Trigonometric Functions	HSF.TF.B.5	"Choose trigonometric functions to model periodic phenomena with specified amplitude, frequency, and midline."	
Math	HSF	Trigonometric Functions	TF	(TF) Trigonometric Functions	Periodic phenomena and trigonometric functions	HSF.TF.B	(HSF.TF.B) Periodic phenomena and trigonometric functions	Model Periodic Phenomena With Trigonometric Functions	HSF.TF.B.6	(+) Understand that restricting a trigonometric function to a domain on which it is always increasing or always decreasing allows its inverse to be constructed.	
Math	HSF	Trigonometric Functions	TF	(TF) Trigonometric Functions	Periodic phenomena and trigonometric functions	HSF.TF.B	(HSF.TF.B) Periodic phenomena and trigonometric functions	Model Periodic Phenomena With Trigonometric Functions	HSF.TF.B.7	"(+) Use inverse functions to solve trigonometric equations that arise in modeling contexts; evaluate the solutions using technology, and interpret them in terms of the context."	
Math	HSF	Trigonometric Functions	TF	(TF) Trigonometric Functions	Trigonometric identities	HSF.TF.C	(HSF.TF.C) Trigonometric identities	Prove And Apply Trigonometric Identities	HSF.TF.C.8	Prove the Pythagorean identity sin2(ëü) + cos2(ëü) = 1 and use it to calculate trigonometric ratios.	
Math	HSF	Trigonometric Functions	TF	(TF) Trigonometric Functions	Trigonometric identities	HSF.TF.C	(HSF.TF.C) Trigonometric identities	Prove And Apply Trigonometric Identities	HSF.TF.C.9	"(+) Prove the addition and subtraction formulas for sine, cosine, and tangent and use them to solve problems."	
Math	HSG	Circles	C	(C) Circles	Theorems about circles	HSG.C.A	(HSG.C.A) Theorems about circles	Understand And Apply Theorems About Circles	HSG.C.A.1	Prove that all circles are similar.	
Math	HSG	Circles	C	(C) Circles	Theorems about circles	HSG.C.A	(HSG.C.A) Theorems about circles	Understand And Apply Theorems About Circles	HSG.C.A.2	"Identify and describe relationships among inscribed angles, radii, and chords. Include the relationship between central, inscribed, and circumscribed angles; inscribed angles on a diameter are right angles; the radius of a circle is perpendicular to the tangent where the radius intersects the circle."	
Math	HSG	Circles	C	(C) Circles	Theorems about circles	HSG.C.A	(HSG.C.A) Theorems about circles	Understand And Apply Theorems About Circles	HSG.C.A.3	"Construct the inscribed and circumscribed circles of a triangle, and prove properties of angles for a quadrilateral inscribed in a circle."	
Math	HSG	Circles	C	(C) Circles	Theorems about circles	HSG.C.A	(HSG.C.A) Theorems about circles	Understand And Apply Theorems About Circles	HSG.C.A.4	(+) Construct a tangent line from a point outside a given circle to the circle.	
Math	HSG	Circles	C	(C) Circles	Arc lengths and areas of sectors	HSG.C.B	(HSG.C.B) Arc lengths and areas of sectors	Find Arc Lengths And Areas Of Sectors Of Circles	HSG.C.B.5	"Derive using similarity the fact that the length of the arc intercepted by an angle is proportional to the radius, and define the radian measure of the angle as the constant of proportionality; derive the formula for the area of a sector."	
Math	HSG	Congruence	CO	(CO) Congruence	Transformations in the plane	HSG.CO.A	(HSG.CO.A) Transformations in the plane	Experiment With Transformations In The Plane	HSG.CO.A.1	"Know precise definitions of angle, circle, perpendicular line, parallel line, and line segment, based on the undefined notions of point, line, distance along a line, and distance around a circular arc."	
Math	HSG	Congruence	CO	(CO) Congruence	Transformations in the plane	HSG.CO.A	(HSG.CO.A) Transformations in the plane	Experiment With Transformations In The Plane	HSG.CO.A.2	"Represent transformations in the plane using, e.g., transparencies and geometry software; describe transformations as functions that take points in the plane as inputs and give other points as outputs. Compare transformations that preserve distance and angle to those that do not (e.g., translation versus horizontal stretch)."	
Math	HSG	Congruence	CO	(CO) Congruence	Transformations in the plane	HSG.CO.A	(HSG.CO.A) Transformations in the plane	Experiment With Transformations In The Plane	HSG.CO.A.3	"Given a rectangle, parallelogram, trapezoid, or regular polygon, describe the rotations and reflections that carry it onto itself."	
Math	HSG	Congruence	CO	(CO) Congruence	Transformations in the plane	HSG.CO.A	(HSG.CO.A) Transformations in the plane	Experiment With Transformations In The Plane	HSG.CO.A.4	"Develop definitions of rotations, reflections, and translations in terms of angles, circles, perpendicular lines, parallel lines, and line segments."	
Math	HSG	Congruence	CO	(CO) Congruence	Transformations in the plane	HSG.CO.A	(HSG.CO.A) Transformations in the plane	Experiment With Transformations In The Plane	HSG.CO.A.5	"Given a geometric figure and a rotation, reflection, or translation, draw the transformed figure using, e.g., graph paper, tracing paper, or geometry software. Specify a sequence of transformations that will carry a given figure onto another."	
Math	HSG	Congruence	CO	(CO) Congruence	Congruence in terms of rigid motions	HSG.CO.B	(HSG.CO.B) Congruence in terms of rigid motions	Understand Congruence In Terms Of Rigid Motions	HSG.CO.B.6	"Use geometric descriptions of rigid motions to transform figures and to predict the effect of a given rigid motion on a given figure; given two figures, use the definition of congruence in terms of rigid motions to decide if they are congruent."	
Math	HSG	Congruence	CO	(CO) Congruence	Congruence in terms of rigid motions	HSG.CO.B	(HSG.CO.B) Congruence in terms of rigid motions	Understand Congruence In Terms Of Rigid Motions	HSG.CO.B.7	Use the definition of congruence in terms of rigid motions to show that two triangles are congruent if and only if corresponding pairs of sides and corresponding pairs of angles are congruent.	
Math	HSG	Congruence	CO	(CO) Congruence	Congruence in terms of rigid motions	HSG.CO.B	(HSG.CO.B) Congruence in terms of rigid motions	Understand Congruence In Terms Of Rigid Motions	HSG.CO.B.8	"Explain how the criteria for triangle congruence (ASA, SAS, and SSS) follow from the definition of congruence in terms of rigid motions."	
Math	HSG	Congruence	CO	(CO) Congruence	Geometric theorems	HSG.CO.C	(HSG.CO.C) Geometric theorems	Prove Geometric Theorems	HSG.CO.C.9	"Prove theorems about lines and angles. Theorems include: vertical angles are congruent; when a transversal crosses parallel lines, alternate interior angles are congruent and corresponding angles are congruent; points on a perpendicular bisector of a line segment are exactly those equidistant from the segment‰Ûªs endpoints."	
Math	HSG	Congruence	CO	(CO) Congruence	Geometric theorems	HSG.CO.C	(HSG.CO.C) Geometric theorems	Prove Geometric Theorems	HSG.CO.C.10	Prove theorems about triangles. Theorems include: measures of interior angles of a triangle sum to 180å¡; base angles of isosceles triangles are congruent; the segment joining midpoints of two sides of a triangle is parallel to the third side and half the length; the medians of a triangle meet at a point.	
Math	HSG	Congruence	CO	(CO) Congruence	Geometric theorems	HSG.CO.C	(HSG.CO.C) Geometric theorems	Prove Geometric Theorems	HSG.CO.C.11	"Prove theorems about parallelograms. Theorems include: opposite sides are congruent, opposite angles are congruent, the diagonals of a parallelogram bisect each other, and conversely, rectangles are parallelograms with congruent diagonals."	
Math	HSG	Congruence	CO	(CO) Congruence	Geometric constructions	HSG.CO.D	(HSG.CO.D) Geometric constructions	Make Geometric Constructions	HSG.CO.D.12	"Make formal geometric constructions with a variety of tools and methods (compass and straightedge, string, reflective devices, paper folding, dynamic geometric software, etc.). Copying a segment; copying an angle; bisecting a segment; bisecting an angle; constructing perpendicular lines, including the perpendicular bisector of a line segment; and constructing a line parallel to a given line through a point not on the line."	
Math	HSG	Congruence	CO	(CO) Congruence	Geometric constructions	HSG.CO.D	(HSG.CO.D) Geometric constructions	Make Geometric Constructions	HSG.CO.D.13	"Construct an equilateral triangle, a square, and a regular hexagon inscribed in a circle."	
Math	HSG	Geometric Measurement &amp; Dimension	GMD	(GMD) Geometric Measurement &amp; Dimension	Volume formulas	HSG.GMD.A	(HSG.GMD.A) Volume formulas	Explain Volume Formulas And Use Them To Solve Problems	HSG.GMD.A.1	"Give an informal argument for the formulas for the circumference of a circle, area of a circle, volume of a cylinder, pyramid, and cone. Use dissection arguments, Cavalieri‰Ûªs principle, and informal limit arguments."	
Math	HSG	Geometric Measurement &amp; Dimension	GMD	(GMD) Geometric Measurement &amp; Dimension	Volume formulas	HSG.GMD.A	(HSG.GMD.A) Volume formulas	Explain Volume Formulas And Use Them To Solve Problems	HSG.GMD.A.2	(+) Give an informal argument using Cavalieri‰Ûªs principle for the formulas for the volume of a sphere and other solid figures.	
Math	HSG	Geometric Measurement &amp; Dimension	GMD	(GMD) Geometric Measurement &amp; Dimension	Volume formulas	HSG.GMD.A	(HSG.GMD.A) Volume formulas	Explain Volume Formulas And Use Them To Solve Problems	HSG.GMD.A.3	"Use volume formulas for cylinders, pyramids, cones, and spheres to solve problems."	
Math	HSG	Geometric Measurement &amp; Dimension	GMD	(GMD) Geometric Measurement &amp; Dimension	Relationships between two-dimensional and three- dimensional objects	HSG.GMD.B	(HSG.GMD.B) Relationships between two-dimensional and three- dimensional objects	Visualize Relationships Between Two-Dimensional And Three- Dimensional Objects	HSG.GMD.B.4	"Identify the shapes of two-dimensional cross-sections of three- dimensional objects, and identify three-dimensional objects generated by rotations of two-dimensional objects."	
Math	HSG	Expressing Geometric Properties with Equations	GPE	(GPE) Expressing Geometric Properties with Equations	Equations for conic sections	HSG.GPE.A	(HSG.GPE.A) Equations for conic sections	Translate Between The Geometric Description And The Equation For A Conic Section	HSG.GPE.A.1	Derive the equation of a circle of given center and radius using the Pythagorean Theorem; complete the square to find the center and radius of a circle given by an equation.	
Math	HSG	Expressing Geometric Properties with Equations	GPE	(GPE) Expressing Geometric Properties with Equations	Equations for conic sections	HSG.GPE.A	(HSG.GPE.A) Equations for conic sections	Translate Between The Geometric Description And The Equation For A Conic Section	HSG.GPE.A.2	Derive the equation of a parabola given a focus and directrix.	
Math	HSG	Expressing Geometric Properties with Equations	GPE	(GPE) Expressing Geometric Properties with Equations	Equations for conic sections	HSG.GPE.A	(HSG.GPE.A) Equations for conic sections	Translate Between The Geometric Description And The Equation For A Conic Section	HSG.GPE.A.3	"(+) Derive the equations of ellipses and hyperbolas given the foci, using the fact that the sum or difference of distances from the foci is constant."	
Math	HSG	Expressing Geometric Properties with Equations	GPE	(GPE) Expressing Geometric Properties with Equations	Algebraic proofs for geometric theorems	HSG.GPE.B	(HSG.GPE.B) Algebraic proofs for geometric theorems	Use Coordinates To Prove Simple Geometric Theorems Algebraically	HSG.GPE.B.4	"Use coordinates to prove simple geometric theorems algebraically. For example, prove or disprove that a figure defined by four given points in the coordinate plane is a rectangle; prove or disprove that the point (1, ‰ö_3) lies on the circle centered at the origin and containing the point (0, 2)."	
Math	HSG	Expressing Geometric Properties with Equations	GPE	(GPE) Expressing Geometric Properties with Equations	Algebraic proofs for geometric theorems	HSG.GPE.B	(HSG.GPE.B) Algebraic proofs for geometric theorems	Use Coordinates To Prove Simple Geometric Theorems Algebraically	HSG.GPE.B.5	"Prove the slope criteria for parallel and perpendicular lines and use them to solve geometric problems (e.g., find the equation of a line parallel or perpendicular to a given line that passes through a given point)."	
Math	HSG	Expressing Geometric Properties with Equations	GPE	(GPE) Expressing Geometric Properties with Equations	Algebraic proofs for geometric theorems	HSG.GPE.B	(HSG.GPE.B) Algebraic proofs for geometric theorems	Use Coordinates To Prove Simple Geometric Theorems Algebraically	HSG.GPE.B.6	Find the point on a directed line segment between two given points that partitions the segment in a given ratio.	
Math	HSG	Expressing Geometric Properties with Equations	GPE	(GPE) Expressing Geometric Properties with Equations	Algebraic proofs for geometric theorems	HSG.GPE.B	(HSG.GPE.B) Algebraic proofs for geometric theorems	Use Coordinates To Prove Simple Geometric Theorems Algebraically	HSG.GPE.B.7	"Use coordinates to compute perimeters of polygons and areas of triangles and rectangles, e.g., using the distance formula."	
Math	HSG	Modeling with Geometry	MG	(MG) Modeling with Geometry	Geometric concepts in modeling situations	HSG.MG.A	(HSG.MG.A) Geometric concepts in modeling situations	Apply Geometric Concepts In Modeling Situations	HSG.MG.A.1	"Use geometric shapes, their measures, and their properties to describe objects (e.g., modeling a tree trunk or a human torso as a cylinder)."	
Math	HSG	Modeling with Geometry	MG	(MG) Modeling with Geometry	Geometric concepts in modeling situations	HSG.MG.A	(HSG.MG.A) Geometric concepts in modeling situations	Apply Geometric Concepts In Modeling Situations	HSG.MG.A.2	"Apply concepts of density based on area and volume in modeling situations (e.g., persons per square mile, BTUs per cubic foot)."	
Math	HSG	Modeling with Geometry	MG	(MG) Modeling with Geometry	Geometric concepts in modeling situations	HSG.MG.A	(HSG.MG.A) Geometric concepts in modeling situations	Apply Geometric Concepts In Modeling Situations	HSG.MG.A.3	"Apply geometric methods to solve design problems (e.g., designing an object or structure to satisfy physical constraints or minimize cost; working with typographic grid systems based on ratios)."	
Math	HSG	"Similarity, Right Triangles, &amp; Trigonometry"	SRT	"(SRT) Similarity, Right Triangles, &amp; Trigonometry"	Similarity in terms of similarity transformations	HSG.SRT.A	(HSG.SRT.A) Similarity in terms of similarity transformations	Understand Similarity In Terms Of Similarity Transformations	HSG.SRT.A.1	Verify experimentally the properties of dilations given by a center and a scale factor:	
Math	HSG	"Similarity, Right Triangles, &amp; Trigonometry"	SRT	"(SRT) Similarity, Right Triangles, &amp; Trigonometry"	Similarity in terms of similarity transformations	HSG.SRT.A	(HSG.SRT.A) Similarity in terms of similarity transformations	Understand Similarity In Terms Of Similarity Transformations	HSG.SRT.A.1.A	"A dilation takes a line not passing through the center of the dilation to a parallel line, and leaves a line passing through the center unchanged."	
Math	HSG	"Similarity, Right Triangles, &amp; Trigonometry"	SRT	"(SRT) Similarity, Right Triangles, &amp; Trigonometry"	Similarity in terms of similarity transformations	HSG.SRT.A	(HSG.SRT.A) Similarity in terms of similarity transformations	Understand Similarity In Terms Of Similarity Transformations	HSG.SRT.A.1.B	The dilation of a line segment is longer or shorter in the ratio given by the scale factor.	
Math	HSG	"Similarity, Right Triangles, &amp; Trigonometry"	SRT	"(SRT) Similarity, Right Triangles, &amp; Trigonometry"	Similarity in terms of similarity transformations	HSG.SRT.A	(HSG.SRT.A) Similarity in terms of similarity transformations	Understand Similarity In Terms Of Similarity Transformations	HSG.SRT.A.2	"Given two figures, use the definition of similarity in terms of similarity transformations to decide if they are similar; explain using similarity transformations the meaning of similarity for triangles as the equality of all corresponding pairs of angles and the proportionality of all corresponding pairs of sides."	
Math	HSG	"Similarity, Right Triangles, &amp; Trigonometry"	SRT	"(SRT) Similarity, Right Triangles, &amp; Trigonometry"	Similarity in terms of similarity transformations	HSG.SRT.A	(HSG.SRT.A) Similarity in terms of similarity transformations	Understand Similarity In Terms Of Similarity Transformations	HSG.SRT.A.3	Use the properties of similarity transformations to establish the AA criterion for two triangles to be similar.	
Math	HSG	"Similarity, Right Triangles, &amp; Trigonometry"	SRT	"(SRT) Similarity, Right Triangles, &amp; Trigonometry"	Theorems involving similarity	HSG.SRT.B	(HSG.SRT.B) Theorems involving similarity	Prove Theorems Involving Similarity	HSG.SRT.B.4	"Prove theorems about triangles. Theorems include: a line parallel to one side of a triangle divides the other two proportionally, and conversely; the Pythagorean Theorem proved using triangle similarity."	
Math	HSG	"Similarity, Right Triangles, &amp; Trigonometry"	SRT	"(SRT) Similarity, Right Triangles, &amp; Trigonometry"	Theorems involving similarity	HSG.SRT.B	(HSG.SRT.B) Theorems involving similarity	Prove Theorems Involving Similarity	HSG.SRT.B.5	Use congruence and similarity criteria for triangles to solve problems and to prove relationships in geometric figures.	
Math	HSG	"Similarity, Right Triangles, &amp; Trigonometry"	SRT	"(SRT) Similarity, Right Triangles, &amp; Trigonometry"	Trigonometric ratios	HSG.SRT.C	(HSG.SRT.C) Trigonometric ratios	Define Trigonometric Ratios And Solve Problems Involving Right Triangles	HSG.SRT.C.6	"Understand that by similarity, side ratios in right triangles are properties of the angles in the triangle, leading to definitions of trigonometric ratios for acute angles."	
Math	HSG	"Similarity, Right Triangles, &amp; Trigonometry"	SRT	"(SRT) Similarity, Right Triangles, &amp; Trigonometry"	Trigonometric ratios	HSG.SRT.C	(HSG.SRT.C) Trigonometric ratios	Define Trigonometric Ratios And Solve Problems Involving Right Triangles	HSG.SRT.C.7	Explain and use the relationship between the sine and cosine of complementary angles.	
Math	HSG	"Similarity, Right Triangles, &amp; Trigonometry"	SRT	"(SRT) Similarity, Right Triangles, &amp; Trigonometry"	Trigonometric ratios	HSG.SRT.C	(HSG.SRT.C) Trigonometric ratios	Define Trigonometric Ratios And Solve Problems Involving Right Triangles	HSG.SRT.C.8	Use trigonometric ratios and the Pythagorean Theorem to solve right triangles in applied problems.	
Math	HSG	"Similarity, Right Triangles, &amp; Trigonometry"	SRT	"(SRT) Similarity, Right Triangles, &amp; Trigonometry"	Applying trigonometry to general triangles	HSG.SRT.D	(HSG.SRT.D) Applying trigonometry to general triangles	Apply Trigonometry To General Triangles	HSG.SRT.D.9	(+) Derive the formula A = 1/2 ab sin(C) for the area of a triangle by drawing an auxiliary line from a vertex perpendicular to the opposite side.	
Math	HSG	"Similarity, Right Triangles, &amp; Trigonometry"	SRT	"(SRT) Similarity, Right Triangles, &amp; Trigonometry"	Applying trigonometry to general triangles	HSG.SRT.D	(HSG.SRT.D) Applying trigonometry to general triangles	Apply Trigonometry To General Triangles	HSG.SRT.D.10	(+) Prove the Laws of Sines and Cosines and use them to solve problems.	
Math	HSG	"Similarity, Right Triangles, &amp; Trigonometry"	SRT	"(SRT) Similarity, Right Triangles, &amp; Trigonometry"	Applying trigonometry to general triangles	HSG.SRT.D	(HSG.SRT.D) Applying trigonometry to general triangles	Apply Trigonometry To General Triangles	HSG.SRT.D.11	"(+) Understand and apply the Law of Sines and the Law of Cosines to find unknown measurements in right and non-right triangles (e.g., surveying problems, resultant forces)."	
Math	HSN	The Complex Number System	CN	(CN) The Complex Number System	Arithmetic operations with complex numbers	HSN.CN.A	(HSN.CN.A) Arithmetic operations with complex numbers	Perform Arithmetic Operations With Complex Numbers.	HSN.CN.A.1	"Know there is a complex number i such that i^2 = ‰ÛÒ1, and every complex number has the form a + bi with a and b real."	
Math	HSN	The Complex Number System	CN	(CN) The Complex Number System	Arithmetic operations with complex numbers	HSN.CN.A	(HSN.CN.A) Arithmetic operations with complex numbers	Perform Arithmetic Operations With Complex Numbers.	HSN.CN.A.2	"Use the relation i^2 = ‰ÛÒ1 and the commutative, associative, and distributive properties to add, subtract, and multiply complex numbers."	
Math	HSN	The Complex Number System	CN	(CN) The Complex Number System	Arithmetic operations with complex numbers	HSN.CN.A	(HSN.CN.A) Arithmetic operations with complex numbers	Perform Arithmetic Operations With Complex Numbers.	HSN.CN.A.3	(+) Find the conjugate of a complex number; use conjugates to find moduli and quotients of complex numbers.	
Math	HSN	The Complex Number System	CN	(CN) The Complex Number System	Complex plane	HSN.CN.B	(HSN.CN.B) Complex plane	Represent Complex Numbers And Their Operations On The Complex Plane.	HSN.CN.B.4	"(+) Represent complex numbers on the complex plane in rectangular and polar form (including real and imaginary numbers), and explain why the rectangular and polar forms of a given complex number represent the same number."	
Math	HSN	The Complex Number System	CN	(CN) The Complex Number System	Complex plane	HSN.CN.B	(HSN.CN.B) Complex plane	Represent Complex Numbers And Their Operations On The Complex Plane.	HSN.CN.B.5	"(+) Represent addition, subtraction, multiplication, and conjugation of complex numbers geometrically on the complex plane; use properties of this representation for computation. For example, (‰ÛÒ1 + &radic; 3 i)^3 = 8 because (‰ÛÒ1 + &radic; 3 i) has modulus 2 and argument 120&deg;."	added degree symbol and radical symbol
Math	HSN	The Complex Number System	CN	(CN) The Complex Number System	Complex plane	HSN.CN.B	(HSN.CN.B) Complex plane	Represent Complex Numbers And Their Operations On The Complex Plane.	HSN.CN.B.6	"(+) Calculate the distance between numbers in the complex plane as the modulus of the difference, and the midpoint of a segment as the average of the numbers at its endpoints."	
Math	HSN	The Complex Number System	CN	(CN) The Complex Number System	Complex numbers in polynomial identities and equations	HSN.CN.C	(HSN.CN.C) Complex numbers in polynomial identities and equations	Use Complex Numbers In Polynomial Identities And Equations.	HSN.CN.C.7	Solve quadratic equations with real coefficients that have complex solutions.	
Math	HSN	The Complex Number System	CN	(CN) The Complex Number System	Complex numbers in polynomial identities and equations	HSN.CN.C	(HSN.CN.C) Complex numbers in polynomial identities and equations	Use Complex Numbers In Polynomial Identities And Equations.	HSN.CN.C.8	"(+) Extend polynomial identities to the complex numbers. For example, rewrite x2 + 4 as (x + 2i)(x ‰ÛÒ 2i)."	
Math	HSN	The Complex Number System	CN	(CN) The Complex Number System	Complex numbers in polynomial identities and equations	HSN.CN.C	(HSN.CN.C) Complex numbers in polynomial identities and equations	Use Complex Numbers In Polynomial Identities And Equations.	HSN.CN.C.9	(+) Know the Fundamental Theorem of Algebra; show that it is true for quadratic polynomials.	
Math	HSN	Quantities	Q	(Q) Quantities	Using units to solve problems	HSN.Q.A	(HSN.Q.A) Using units to solve problems	Reason Quantitatively And Use Units To Solve Problems.	HSN.Q.A.1	Use units as a way to understand problems and to guide the solution of multi-step problems; choose and interpret units consistently in formulas; choose and interpret the scale and the origin in graphs and data displays.	
Math	HSN	Quantities	Q	(Q) Quantities	Using units to solve problems	HSN.Q.A	(HSN.Q.A) Using units to solve problems	Reason Quantitatively And Use Units To Solve Problems.	HSN.Q.A.2	Define appropriate quantities for the purpose of descriptive modeling.	
Math	HSN	Quantities	Q	(Q) Quantities	Using units to solve problems	HSN.Q.A	(HSN.Q.A) Using units to solve problems	Reason Quantitatively And Use Units To Solve Problems.	HSN.Q.A.3	Choose a level of accuracy appropriate to limitations on measurement when reporting quantities.	
Math	HSN	The Real Number System	RN	(RN) The Real Number System	Rational exponents	HSN.RN.A	(HSN.RN.A) Rational exponents	Extend The Properties Of Exponents To Rational Exponents.	HSN.RN.A.1	"Explain how the definition of the meaning of rational exponents follows from extending the properties of integer exponents to those values, allowing for a notation for radicals in terms of rational exponents. For example, we define 51/3 to be the cube root of 5 because we want (5^1/3)^3 = 5^(1/3)^3 to hold, so (5^1/3)^3 must equal 5."	
Math	HSN	The Real Number System	RN	(RN) The Real Number System	Rational exponents	HSN.RN.A	(HSN.RN.A) Rational exponents	Extend The Properties Of Exponents To Rational Exponents.	HSN.RN.A.2	Rewrite expressions involving radicals and rational exponents using the properties of exponents.	
Math	HSN	The Real Number System	RN	(RN) The Real Number System	Properties of rational and irrational numbers	HSN.RN.B	(HSN.RN.B) Properties of rational and irrational numbers	Use Properties Of Rational And Irrational Numbers.	HSN.RN.B.3	Explain why the sum or product of two rational numbers is rational; that the sum of a rational number and an irrational number is irrational; and that the product of a nonzero rational number and an irrational number is irrational.	
Math	HSN	Vector &amp; Matrix Quantities	VM	(VM) Vector &amp; Matrix Quantities	Vector quantities	HSN.VM.A	(HSN.VM.A) Vector quantities	Represent And Model With Vector Quantities.	HSN.VM.A.1	"(+) Recognize vector quantities as having both magnitude and direction. Represent vector quantities by directed line segments, and use appropriate symbols for vectors and their magnitudes (e.g., v, |v|, ||v||, v)."	
Math	HSN	Vector &amp; Matrix Quantities	VM	(VM) Vector &amp; Matrix Quantities	Vector quantities	HSN.VM.A	(HSN.VM.A) Vector quantities	Represent And Model With Vector Quantities.	HSN.VM.A.2	(+) Find the components of a vector by subtracting the coordinates of an initial point from the coordinates of a terminal point.	
Math	HSN	Vector &amp; Matrix Quantities	VM	(VM) Vector &amp; Matrix Quantities	Vector quantities	HSN.VM.A	(HSN.VM.A) Vector quantities	Represent And Model With Vector Quantities.	HSN.VM.A.3	(+) Solve problems involving velocity and other quantities that can be represented by vectors.	
Math	HSN	Vector &amp; Matrix Quantities	VM	(VM) Vector &amp; Matrix Quantities	Operations with vectors	HSN.VM.B	(HSN.VM.B) Operations with vectors	Perform Operations On Vectors.	HSN.VM.B.4	(+) Add and subtract vectors.	
Math	HSN	Vector &amp; Matrix Quantities	VM	(VM) Vector &amp; Matrix Quantities	Operations with vectors	HSN.VM.B	(HSN.VM.B) Operations with vectors	Perform Operations On Vectors.	HSN.VM.B.4.A	"Add vectors end-to-end, component-wise, and by the parallelogram rule. Understand that the magnitude of a sum of two vectors is typically not the sum of the magnitudes."	
Math	HSN	Vector &amp; Matrix Quantities	VM	(VM) Vector &amp; Matrix Quantities	Operations with vectors	HSN.VM.B	(HSN.VM.B) Operations with vectors	Perform Operations On Vectors.	HSN.VM.B.4.B	"Given two vectors in magnitude and direction form, determine the magnitude and direction of their sum."	
